20210606 18:05:47
Origin HIRO AntMaze Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Epoch: 2610 Reward: -6000.920 Time consuming: 38
Epoch: 2620 Reward: -3256.326 Time consuming: 38
Epoch: 2630 Reward: -5920.222 Time consuming: 38
Epoch: 2640 Reward: -2031.414 Time consuming: 38
Epoch: 2650 Reward: -990.270 Time consuming: 38
Epoch: 2660 Reward: -7096.224 Time consuming: 38
Epoch: 2670 Reward: -7665.342 Time consuming: 38
Epoch: 2680 Reward: -4745.038 Time consuming: 38
Epoch: 2690 Reward: -3528.352 Time consuming: 38
Epoch: 2700 Reward: -8375.026 Time consuming: 38
Epoch: 2710 Reward: -1976.390 Time consuming: 38
Epoch: 2720 Reward: -2659.098 Time consuming: 38
Epoch: 2730 Reward: -1403.301 Time consuming: 38
Epoch: 2740 Reward: -7156.225 Time consuming: 38
Epoch: 2750 Reward: -5590.464 Time consuming: 38
Goal, Curr: (0.00, 16.00, 3.06, 2.94)     Error:13.41
Goal, Curr: (0.00, 16.00, 4.37, 2.44)     Error:14.25
Goal, Curr: (0.00, 16.00, 3.55, 1.79)     Error:14.64
Goal, Curr: (0.00, 16.00, 2.76, 2.70)     Error:13.59
Goal, Curr: (0.00, 16.00, 2.64, 3.03)     Error:13.24
Goal, Curr: (0.00, 16.00, 4.38, 2.09)     Error:14.58
Goal, Curr: (0.00, 16.00, 1.53, -0.22)     Error:16.30
Goal, Curr: (0.00, 16.00, 4.03, 1.45)     Error:15.10
Goal, Curr: (0.00, 16.00, 3.51, 2.56)     Error:13.89
Goal, Curr: (0.00, 16.00, 2.83, 2.95)     Error:13.35
episode:02750, mean:-7268.93, std:432.21, median:-7187.29, success:0.00
Epoch: 2760 Reward: -2483.968 Time consuming: 44
Epoch: 2770 Reward: -1317.175 Time consuming: 39
Epoch: 2780 Reward: -8092.162 Time consuming: 38
Epoch: 2790 Reward: -3853.565 Time consuming: 38
Epoch: 2800 Reward: -5074.558 Time consuming: 38
Epoch: 2810 Reward: -8851.166 Time consuming: 38
Epoch: 2820 Reward: -7203.185 Time consuming: 38
Epoch: 2830 Reward: -4554.033 Time consuming: 38
Epoch: 2840 Reward: -7262.871 Time consuming: 38
Epoch: 2850 Reward: -854.805 Time consuming: 38
Epoch: 2860 Reward: -1141.991 Time consuming: 38
Epoch: 2870 Reward: -5459.934 Time consuming: 38
Epoch: 2880 Reward: -4249.983 Time consuming: 38
Epoch: 2890 Reward: -1548.431 Time consuming: 38
Epoch: 2900 Reward: -6959.462 Time consuming: 38
Epoch: 2910 Reward: -4328.332 Time consuming: 37
Epoch: 2920 Reward: -3838.094 Time consuming: 38
Epoch: 2930 Reward: -3790.863 Time consuming: 38
Epoch: 2940 Reward: -6338.382 Time consuming: 37
Epoch: 2950 Reward: -4697.388 Time consuming: 38
Epoch: 2960 Reward: -5270.388 Time consuming: 38
Epoch: 2970 Reward: -6622.764 Time consuming: 38
Epoch: 2980 Reward: -5241.342 Time consuming: 38
Epoch: 2990 Reward: -2420.601 Time consuming: 38
Epoch: 3000 Reward: -1414.150 Time consuming: 38
Goal, Curr: (0.00, 16.00, 9.66, 3.08)     Error:16.13
Goal, Curr: (0.00, 16.00, 9.99, 2.48)     Error:16.81
Goal, Curr: (0.00, 16.00, 7.71, 2.17)     Error:15.84
Goal, Curr: (0.00, 16.00, 8.53, 3.16)     Error:15.42
Goal, Curr: (0.00, 16.00, 6.75, 2.25)     Error:15.32
Goal, Curr: (0.00, 16.00, 6.18, 2.17)     Error:15.15
Goal, Curr: (0.00, 16.00, 4.42, 0.13)     Error:16.47
Goal, Curr: (0.00, 16.00, 5.42, 3.13)     Error:13.96
Goal, Curr: (0.00, 16.00, 12.77, -0.34)     Error:20.74
Goal, Curr: (0.00, 16.00, 15.14, 3.90)     Error:19.38
episode:03000, mean:-7961.84, std:565.61, median:-7918.23, success:0.00
Epoch: 3010 Reward: -8456.574 Time consuming: 44
Epoch: 3020 Reward: -9543.906 Time consuming: 38
Epoch: 3030 Reward: -8898.120 Time consuming: 38
Epoch: 3040 Reward: -3758.571 Time consuming: 38
