20210606 18:05:47
Origin HIRO AntPush Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Epoch: 2860 Reward: -9387.429 Time consuming: 38
Epoch: 2870 Reward: -9395.744 Time consuming: 39
Epoch: 2880 Reward: -9769.497 Time consuming: 38
Epoch: 2890 Reward: -9382.113 Time consuming: 38
Epoch: 2900 Reward: -9585.270 Time consuming: 39
Epoch: 2910 Reward: -9194.193 Time consuming: 39
Epoch: 2920 Reward: -9470.287 Time consuming: 39
Epoch: 2930 Reward: -9550.128 Time consuming: 38
Epoch: 2940 Reward: -9504.816 Time consuming: 38
Epoch: 2950 Reward: -9843.938 Time consuming: 38
Epoch: 2960 Reward: -9863.641 Time consuming: 39
Epoch: 2970 Reward: -9826.410 Time consuming: 39
Epoch: 2980 Reward: -9709.614 Time consuming: 39
Epoch: 2990 Reward: -9604.861 Time consuming: 39
Epoch: 3000 Reward: -9514.999 Time consuming: 39
Goal, Curr: (0.00, 19.00, 0.18, -0.21)     Error:19.21
Goal, Curr: (0.00, 19.00, 0.04, -0.26)     Error:19.26
Goal, Curr: (0.00, 19.00, 0.12, -0.03)     Error:19.03
Goal, Curr: (0.00, 19.00, -0.55, -0.17)     Error:19.17
Goal, Curr: (0.00, 19.00, 0.12, -0.15)     Error:19.15
Goal, Curr: (0.00, 19.00, -0.55, -0.27)     Error:19.28
Goal, Curr: (0.00, 19.00, -0.82, -0.19)     Error:19.21
Goal, Curr: (0.00, 19.00, 0.20, -0.27)     Error:19.27
Goal, Curr: (0.00, 19.00, 0.13, -0.05)     Error:19.05
Goal, Curr: (0.00, 19.00, -0.13, -0.18)     Error:19.18
episode:03000, mean:-9559.80, std:45.05, median:-9565.22, success:0.00
Epoch: 3010 Reward: -9635.097 Time consuming: 45
Epoch: 3020 Reward: -9387.985 Time consuming: 38
Epoch: 3030 Reward: -9432.145 Time consuming: 39
Epoch: 3040 Reward: -9527.125 Time consuming: 39
